Postcode,Borough,NTA
10009,Manhattan,East Village
11205,Brooklyn,Clinton Hill
10014,Manhattan,
11225,Brooklyn,Crown Heights South
11209,Brooklyn,Bay Ridge
10014,Manhattan,West Village
10163,Manhattan,
11217,Manhattan,
10116,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11238,Manhattan,
10019,Manhattan,Clinton
10003,Manhattan,East Village
11215,Brooklyn,Park Slope-Gowanus
11434,Queens,St. Albans
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10009,Manhattan,Lower East Side
11217,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10075,Manhattan,Upper East Side-Carnegie Hill
11215,Brooklyn,Park Slope-Gowanus
10002,Manhattan,Lower East Side
10010,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11205,Brooklyn,Fort Greene
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10026,Manhattan,Central Harlem South
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11105,Queens,Steinway
11217,Brooklyn,Fort Greene
11225,Brooklyn,Crown Heights South
10003,Manhattan,East Village
11207,Brooklyn,East New York (Pennsylvania Ave)
10001,Manhattan,
10459,Brooklyn,
10031,Manhattan,Manhattanville
11106,Manhattan,
10003,Manhattan,West Village
11225,Brooklyn,Prospect Lefferts Gardens-Wingate
10036,Manhattan,Clinton
10038,Manhattan,Battery Park City-Lower Manhattan
11377,Manhattan,
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10003,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10001,Manhattan,Midtown-Midtown South
10019,Manhattan,Midtown-Midtown South
10462,Bronx,Westchester-Unionport
10163,Manhattan,
10025,Manhattan,Morningside Heights
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10027,Manhattan,Manhattanville
11238,Brooklyn,Clinton Hill
11432,Queens,Jamaica
10002,Manhattan,Lower East Side
10002,Manhattan,Lower East Side
11208,Brooklyn,East New York
11239,Brooklyn,Starrett City
11366,Queens,Jamaica Estates-Holliswood
10004,Manhattan,Battery Park City-Lower Manhattan
11412,Queens,St. Albans
10022,Manhattan,Turtle Bay-East Midtown
10013,Brooklyn,
10029,Manhattan,East Harlem South
10036,Manhattan,Clinton
10033,Manhattan,Washington Heights South
10128,Manhattan,Upper East Side-Carnegie Hill
11731,Queens,Middle Village
10019,Manhattan,Midtown-Midtown South
10001-2111,Manhattan,Midtown-Midtown South
11364,Queens,park-cemetery-etc-Queens
10271,Manhattan,Battery Park City-Lower Manhattan
10036,Manhattan,Midtown-Midtown South
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10036,Manhattan,Clinton
10018,Manhattan,Midtown-Midtown South
11375,Queens,Forest Hills
10018,Manhattan,Midtown-Midtown South
10009,Manhattan,
10003,Manhattan,East Village
10001,Manhattan,Midtown-Midtown South
10019,Manhattan,
10004,Manhattan,Battery Park City-Lower Manhattan
10019,Manhattan,Midtown-Midtown South
10034,Manhattan,Marble Hill-Inwood
10018,Manhattan,
7307,Manhattan,Midtown-Midtown South
